A: Chronology for the Red Sea relative sea-level (RSL) record. where 0-150 ka BP is from Grant et al.. 2012 and 151-500 ka BP is from the present study.										
B: Red Sea RSL datapoints (in metres)										
C: Chronology for the probabilistic RSL record (in kiloyears)										
D: Lower bound of the 95% probability interval for the RSL data										
E: Upper bound of the 95% probability interval for the RSL data										
F: Probability maximum for the RSL data										
G: Lower bound of the 95% probability interval for the probability maximum										
H: Upper bound of the 95% probability interval for the probability maximum										
I: Probability maximum for the first-order time derivative (dRSL) of the RSL data (in metres per kiloyear)										
J: Lower bound of the 95% probability interval for dRSL										
K: Upper bound of the 95% probability interval for dRSL										
										
										
Age_kaBP	RSL datapoints_m	time_kyr	RSL_95low_m	RSL_95high_m	RSL_Pmax_m	RSL_Pmax95high_m	RSL_Pmax95low_m	dRSL_Pmax_m/kyr	dRSL_Pmax95low_m/kyr	dRSL_Pmax95high_m/kyr
5.676	-15.953	11.5	-77.341	-27.414	-57.34	-54.077	-60.603	26.317	19.258	33.376
5.777	-0.093	11.625	-79.019	-29.143	-64.475	-61.217	-67.734	24.103	17.111	31.095
5.817	-4.293	11.75	-79.813	-30.017	-68.616	-65.375	-71.857	19.863	12.925	26.801
5.930	-11.493	11.875	-80.253	-33.876	-70.465	-67.255	-73.674	14.521	7.598	21.445
5.959	-12.833	12	-80.456	-36.813	-71.302	-68.128	-74.476	9.942	3.038	16.846
6.032	2.137	12.125	-80.855	-40.717	-71.946	-68.799	-75.093	7.039	0.186	13.892
6.100	0.007	12.25	-82.367	-44.549	-72.715	-69.586	-75.845	5.401	-1.404	12.205
6.185	-11.643	12.375	-84.436	-49.098	-73.515	-70.4	-76.631	4.363	-2.42E+00	11.143
6.242	-4.303	12.5	-84.664	-52.773	-74.051	-70.951	-77.151	3.623	-3.15	10.395
6.287	0.227	12.625	-84.776	-56.271	-74.144	-71.056	-77.232	3.119	-3.638	9.877
6.384	-2.773	12.75	-84.762	-59.801	-73.904	-70.824	-76.984	2.826	-3.905	9.558
6.440	-8.073	12.875	-86.396	-60.679	-73.633	-70.558	-76.708	2.67	-4.045	9.384
6.516	-0.643	13	-85.898	-61.683	-73.555	-70.484	-76.626	2.531	-4.18	9.242
6.525	-13.613	13.125	-86.163	-62.077	-73.679	-70.611	-76.747	2.338	-4.37	9.046
6.571	-10.763	13.25	-86.35	-62.462	-73.862	-70.797	-76.927	2.149	-4.554	8.851
6.667	-10.213	13.375	-86.772	-63.18	-73.977	-70.912	-77.042	2.075	-4.624	8.774
6.768	-4.713	13.5	-86.948	-63.951	-74.071	-71.008	-77.135	2.13	-4.567	8.827
6.808	-5.593	13.625	-87.628	-64.468	-74.297	-71.233	-77.361	2.255	-4.44	8.949
6.948	-4.303	13.75	-87.964	-64.954	-74.699	-71.634	-77.763	2.411	-4.282	9.103
6.950	0.687	13.875	-88.331	-64.912	-75.155	-72.091	-78.22	2.55	-4.14	9.241
7.050	-1.073	14	-88.506	-65.345	-75.488	-72.422	-78.553	2.631	-4.056	9.318
7.150	-12.453	14.125	-89.007	-65.693	-75.663	-72.597	-78.729	2.66	-4.021	9.34
7.217	-7.873	14.25	-89.966	-65.763	-75.842	-72.775	-78.909	2.666	-4.013	9.345
7.250	-24.413	14.375	-89.915	-66.621	-76.154	-73.086	-79.221	2.667	-4.016	9.349
7.350	-28.403	14.5	-90.45	-67.309	-76.563	-73.495	-79.63	2.667	-4.015	9.349
7.379	-11.273	14.625	-90.715	-67.146	-76.969	-73.901	-80.037	2.668	-4.01	9.345
7.412	-25.513	14.75	-90.88	-67.17	-77.327	-74.258	-80.397	2.675	-3.999	9.349
7.473	-17.683	14.875	-91.976	-67.21	-77.671	-74.601	-80.742	2.71	-3.963	9.382
7.535	-10.573	15	-92.582	-66.985	-78.045	-74.974	-81.117	2.818	-3.854	9.49
7.544	-9.163	15.125	-93.55	-67.452	-78.485	-75.412	-81.557	3.032	-3.64	9.704
7.597	-28.413	15.25	-94.31	-67.752	-79.03	-75.957	-82.104	3.301	-3.372	9.975
7.655	-5.873	15.375	-94.155	-67.96	-79.644	-76.571	-82.718	3.515	-3.158	10.189
